Date,SPX_Return
1986-06-30,4.997907
1986-09-30,-7.78185
1986-12-31,4.690472
1987-03-31,20.45257
1987-06-30,4.216661
1987-09-30,5.865132
1987-12-31,-23.2265
1988-03-31,4.779828
1988-06-30,5.643323
1988-09-30,-0.58135
1988-12-31,2.136736
1989-03-31,6.175284
1989-06-30,7.837352
1989-09-30,9.802503
1989-12-31,1.217242
1990-03-31,-3.80872
1990-06-30,5.318586
1990-09-30,-14.5159
1990-12-31,7.897402
1991-03-31,13.62728
1991-06-30,-1.08203
1991-09-30,4.499407
1991-12-31,7.536224
1992-03-31,-3.21274
1992-06-30,1.102331
1992-09-30,2.366835
1992-12-31,4.28674
1993-03-31,3.662987
1993-06-30,-0.2524
1993-09-30,1.864471
1993-12-31,1.638594
1994-03-31,-4.43349
1994-06-30,-0.3365
1994-09-30,4.146127
1994-12-31,-0.73916
1995-03-31,9.023015
1995-06-30,8.79551
1995-09-30,7.280404
1995-12-31,5.393474
1996-03-31,4.80087
1996-06-30,3.893106
1996-09-30,2.487214
1996-12-31,7.773785
1997-03-31,2.211302
1997-06-30,16.90881
1997-09-30,7.020358
1997-12-31,2.443839
1998-03-31,13.53215
1998-06-30,2.912639
1998-09-30,-10.3039
1998-12-31,20.86705
1999-03-31,4.648438
1999-06-30,6.71191
1999-09-30,-6.55637
1999-12-31,14.54265
2000-03-31,1.996257
2000-06-30,-2.93478
2000-09-30,-1.24364
2000-12-31,-8.09114
2001-03-31,-12.1149
2001-06-30,5.523429
2001-09-30,-14.9851
2001-12-31,10.29262
2002-03-31,-0.0601
2002-06-30,-13.7338
2002-09-30,-17.6327
2002-12-31,7.916299
2003-03-31,-3.59619
2003-06-30,14.89307
2003-09-30,2.203181
2003-12-31,11.64192
2004-03-31,1.285164
2004-06-30,1.299047
2004-09-30,-2.30181
2004-12-31,8.733335
2005-03-31,-2.58515
2005-06-30,0.909715
2005-09-30,3.146064
2005-12-31,1.585274
2006-03-31,3.7283
2006-06-30,-1.90218
2006-09-30,5.168477
2006-12-31,6.1721
2007-03-31,0.180498
2007-06-30,5.805639
2007-09-30,1.556524
2007-12-31,-3.82446
2008-03-31,-9.91991
2008-06-30,-3.22825
2008-09-30,-8.87813
2008-12-31,-22.5582
2009-03-31,-11.6668
2009-06-30,15.22178
2009-09-30,14.98499
2009-12-31,5.488705
2010-03-31,4.872209
2010-06-30,-11.8622
2010-09-30,10.7198
2010-12-31,10.20329
2011-03-31,5.42206
2011-06-30,-0.39145
2011-09-30,-14.3279
2011-12-31,11.15324
2012-03-31,11.99577
2012-06-30,-3.28796
2012-09-30,5.76364
2012-12-31,-1.00509
2013-03-31,10.02671
2013-06-30,2.36364
2013-09-30,4.685983
2013-12-31,9.920014
2014-03-31,1.297366
2014-06-30,4.694126
2014-09-30,0.615234
2014-12-31,4.391342
2015-03-31,0.436641
2015-06-30,-0.23115
2015-09-30,-6.93516
2015-12-31,6.453545
2016-03-31,0.773017
2016-06-30,1.899269
2016-09-30,3.307033
2016-12-31,3.254207
2017-03-31,5.533694
2017-06-30,2.56865
2017-09-30,3.959297
2017-12-31,6.122587
2018-03-31,-1.22456
2018-06-30,2.934639
2018-09-30,7.195856
2018-12-31,-13.9716
2019-03-31,13.0662
2019-06-30,3.78775
2019-09-30,1.189084
,
,
,
,
,
,
,